ID,CAM17U_COD,CAM17U_DEN,CAM17U_NOME,DAB,IV,ST,TSO,TSOFM,ICMI,AAST,PDU,ADD,ADDSP,OAI,OSS,POP_NFR,EDI,IVMS
1,CU011_01,Piemonte 1 - 01,Torino - Zona Statistica 16,4524.2507475615,202.2167775055,114.094177685,64.5569895749,88.5936817539,22.5485365133,2.4915463285,27.8696118987,849.9837624681,219.9628856414,14.1464100955,35.2886426113,28.4980388255,53.7666918619,97.2114927748
2,CU011_02,Piemonte 1 - 02,Torino - Zona Statistica 38,5989.8207795684,166.1598609904,196.0420956303,59.7534899459,79.7030331175,32.7688651218,4.7702238351,8.5397124754,357.4651109586,51.3475177305,22.5085665334,27.7329621169,38.7154605731,29.4614691302,106.016724134
3,CU011_03,Piemonte 1 - 03,Torino - Zona Statistica 48,10650.857128129,211.3077461933,113.6494870426,63.6101305734,85.5864788908,26.8707482993,3.2166618137,17.5258151897,311.2129934746,68.0195023683,17.7220649967,32.9812416492,33.4624842031,30.8105263158,98.231973445
4,CU011_04,Piemonte 1 - 04,Torino - Zona Statistica 61,8572.7915865785,245.367983368,82.7129501385,62.9725725726,84.1853741233,27.7553083923,3.0413732653,14.2015231598,342.1437365343,53.6655509388,19.7051823608,32.9021968026,34.2319528985,12.7659574468,100.1492006371
5,CU011_05,Piemonte 1 - 05,Ivrea,109.2324763274,182.1448233896,58.9878732048,64.3354806355,80.5362412747,29.7092902241,2.364261547,9.502166456,331.7652566561,47.8389235393,26.8607677886,26.207291989,20.0606634463,51.7346473421,94.6180510203
6,CU011_06,Piemonte 1 - 06,Collegno,1405.6272049609,164.9528775904,36.9602875814,62.9637907912,81.6114144136,29.2136865609,3.4674261611,9.802507224,399.4893549309,56.3626303284,25.526946422,29.1714040826,33.3688831475,16.7838836572,94.1240922196
7,CU011_07,Piemonte 1 - 07,Settimo Torinese,371.6843005902,146.3666253693,52.3649448416,63.765998055,80.3419792284,29.5830421617,3.0636803102,10.2246132711,326.9934459272,47.7317767692,26.3456499267,27.2856215592,27.9907926198,33.905160118,94.6796290893
8,CU011_08,Piemonte 1 - 08,Moncalieri,392.3648925521,144.933685587,60.9167024474,63.8314484456,78.9881455503,29.8954248366,3.2863471225,9.6028004667,308.7085199043,41.1849046188,25.8485948488,27.0194783337,27.1560839001,23.0927428443,95.0824568301
9,CU011_09,Piemonte 1 - 09,Pinerolo,106.1106468335,168.3022884513,54.5821471044,63.6611155766,78.0981610246,30.9033382837,2.3168515055,9.9817298888,295.9998558507,59.2129446106,26.3795917299,25.1865492534,18.8614948312,43.6288088643,94.8341139384
10,CU012_01,Piemonte 2 - 01,Verbania,99.7670981709,190.1796778191,61.2051088242,65.0348416152,79.6244492475,32.7337605593,2.2069328521,9.5976344443,339.9693780646,61.6082330368,26.1786816346,25.6247081338,24.8147154153,41.6476575843,95.0781544064
11,CU012_02,Piemonte 2 - 02,Novara,263.7965472675,156.0927152318,91.9025679702,64.3289721762,78.0541681907,32.672932585,2.5262127515,11.2836303972,335.9568097133,56.4557680389,24.524237297,27.0718135673,37.2205753568,31.5312859062,95.9719369869
12,CU012_03,Piemonte 2 - 03,Biella,125.5514306952,221.501065482,53.2231054584,65.3134596659,83.5686525957,32.5160167682,2.7436593563,8.9334244212,371.9130895601,63.4022257552,31.513619827,22.2859705082,22.2518258471,54.6787635827,96.5665343548
13,CU012_04,Piemonte 2 - 04,Vercelli,113.1629240134,218.3074884504,74.3357581278,62.67779757,79.9629519425,28.7546679656,3.0839057403,9.5456642746,342.6606443742,68.3566411652,25.1024473828,23.0627896655,25.38705979,55.3972932516,97.084234078
14,CU012_05,Piemonte 2 - 05,Alessandria,130.7232562379,227.6265843145,94.2629322791,63.3648658284,77.2575563457,29.169941833,2.8910151649,10.9352867026,367.2123137063,69.2645980943,21.1841637902,26.2297470833,32.2506682361,51.8632190418,97.4608761097
15,CU012_06,Piemonte 2 - 06,Asti,129.0494303844,200.8656937917,101.1102560434,63.9049585496,77.5621644519,29.5041256108,3.422840316,9.2491918895,308.5939463782,56.7502871352,21.5372320421,23.6367055284,21.4082592291,58.1969700507,97.9693622835
16,CU012_07,Piemonte 2 - 07,Cuneo,71.9325432426,155.1503612576,83.8107946378,67.4276755224,79.0842309026,26.2587822014,1.8495262511,10.1263598326,379.8689016212,68.4999346572,22.5158685257,22.0237310992,10.1447425714,44.1915707079,94.5351639918
17,CU012_08,Piemonte 2 - 08,Alba,103.6254046594,168.143454694,99.5926983397,68.0748240471,78.4313710682,26.1422400681,2.1640954925,9.0595270232,389.7545364745,57.3639057658,26.2405843415,21.3634634406,12.8567349454,43.496099078,95.549752277
18,CU021_01,Valle d'Aosta/Vallè d'Aoste - 01,Aosta,38.8868322222,152.6372200598,66.3927574405,68.3288426135,83.3605043657,35.2467128517,1.8742182614,11.7245592432,438.5675756668,107.3766225573,10.2457802784,26.0290198401,31.011006276,28.3109671448,94.6032452578
19,CU031_01,Lombardia 1 - 01,Abbiategrasso,639.8822338323,131.5858580946,68.2435024796,66.1626845638,79.2853899343,28.9275870709,1.8882299007,9.9543703807,288.3456723459,41.4043738366,28.647979556,28.5585369749,19.8397145058,14.3236831701,91.8712281294
20,CU031_02,Lombardia 1 - 02,Legnano,2018.0713891366,144.8851349632,70.4823393744,66.2194719204,81.5624243492,28.769201593,2.0949751567,12.0351469274,379.6892128529,51.9283609288,24.349286989,32.0645970322,24.8367865033,14.2633808021,92.6027651903
21,CU031_03,Lombardia 1 - 03,Bollate,2189.3645676222,134.3724716828,65.9477548132,65.6554913036,78.9112133782,28.4947243554,2.5644790515,10.2452419278,321.3985611935,43.2600171006,25.6625748879,30.7763207508,26.9221360311,8.1187125704,93.4327036479
22,CU031_04,Lombardia 1 - 04,Seregno,2392.3111566463,129.6544010226,65.9009072439,66.9794949888,77.0418203627,27.5747314339,2.0807454715,11.4986735769,320.2208766671,47.548161708,27.2879447753,28.4337688502,20.8808011198,15.2133627166,91.6951163994
23,CU031_05,Lombardia 1 - 05,Monza,2284.4827505804,158.5724523434,82.0030429638,65.9161142323,79.7654725979,25.1875827571,1.5568146114,17.3393474313,423.0605131178,77.2655187126,23.4117647059,33.0756302521,22.7216324884,18.9618189618,93.2820049319
24,CU031_06,Lombardia 1 - 06,Gorgonzola,1087.6101650429,117.6862982114,79.8505807904,67.7637221269,80.4831219853,28.6356551972,1.6339670513,11.2934671171,388.0976341958,34.6120388217,27.4594273406,31.5534593531,19.7154170127,13.9191699674,90.5392768543
25,CU031_07,Lombardia 1 - 07,Cinisello Balsamo,3984.739570448,149.4155667643,83.6991885437,65.1707253379,80.5289164036,27.6777939042,3.1122424475,9.701311879,380.6887834095,47.8899168183,22.0570549849,32.6291820279,31.4373405797,8.124753646,94.7009592842
26,CU031_08,Lombardia 1 - 08,Milano - Area Statistica 117,4376.5238280481,198.80697461,152.1584721016,65.7306336772,85.644787019,29.6604620709,2.7831273271,13.489014005,370.6012855251,67.8495953139,13.4058240858,39.270552937,31.9427637635,22.6412409278,101.165885413
27,CU031_09,Lombardia 1 - 09,Milano -Sesto San Giovanni,7146.7307474476,192.7433942188,139.8997095413,67.4216602529,85.2693254127,27.0168664906,2.4045847336,15.0071687702,425.1018432254,71.8245921704,14.9962809478,39.4517054511,32.1460619866,20.1927489674,97.3812993911
28,CU031_10,Lombardia 1 - 10,Cologno Monzese,1902.1328601034,131.7205904279,100.491331112,66.7037991135,82.051999633,26.7515489889,2.3531021942,15.9654670388,503.6200372734,42.6799194292,19.7403524274,37.8196740811,30.145993956,7.0579460165,94.8191066722
29,CU031_11,Lombardia 1 - 11,Milano - Area Statistica 74,12063.0558228136,209.508111712,123.3879268229,68.7019721851,85.8399518705,22.0594525235,1.514890581,30.8360887517,525.8809188402,71.3936755031,10.8387852749,45.5087936291,30.620559797,30.531280344,98.4800763457
30,CU031_12,Lombardia 1 - 12,Milano - Area Statistica 84,11063.3660749664,177.7954333483,137.6785714286,69.8525570932,84.7431060033,18.5337243402,1.1689823707,35.5817561608,1677.1116071429,206.9151785714,9.7879114191,47.179175055,31.4894388072,49.3466406009,94.8726110516
31,CU031_13,Lombardia 1 - 13,Milano - Area Statistica 105,15202.5265378235,199.5744680851,132.6656219482,70.5544714401,88.0265526882,20.6928838951,1.4333050782,33.1064184496,548.8814698735,90.2091708115,10.2318075968,45.7034911248,32.1584934118,50.9072117593,94.8349925316
32,CU031_14,Lombardia 1 - 14,Milano - Area Statistica 144,3920.2332200741,201.3378470753,150.3749159173,66.9415747895,86.5386566644,28.3401184308,2.4013309108,17.384358292,545.7265362886,79.8362502631,12.5516825403,41.5162806082,32.6735702975,23.9438791243,99.7305845876
33,CU031_15,Lombardia 1 - 15,Rozzano,1052.4271918984,126.1729144298,79.8724163081,66.8638616472,82.6049464658,31.1107138601,2.6772972638,11.2869750169,427.4716723025,43.7120712459,18.6095098077,36.6363601192,30.2489105659,7.7385384534,94.4078512844
34,CU032_01,Lombardia 2 - 01,Sondrio,62.8041260795,156.3989381405,48.635859333,64.8141572352,73.3553671312,27.4861602081,1.1474291069,8.8584219362,345.0359736417,70.6318921463,17.3444964391,26.8832856264,6.6066079334,33.0016226097,92.8472011327
35,CU032_02,Lombardia 2 - 02,Varese,485.0035124419,166.8573574875,79.5982144595,64.4129994957,78.9888535971,31.1427646488,2.4063171893,12.7635892282,319.9378874736,79.6643744187,24.8967132687,25.3947028662,26.2321353066,30.7504806372,96.0255435165
36,CU032_03,Lombardia 2 - 03,Gallarate,719.3320525212,144.5214261613,77.1934228693,65.9548242422,77.7871006198,29.369998873,2.2659311302,11.2306776248,369.321528227,46.3450193587,32.6530762437,25.9905799235,25.3630618565,20.2947571877,94.351415686
37,CU032_04,Lombardia 2 - 04,Busto Arsizio,1286.3127359035,148.8750933532,71.1656038393,65.569738134,77.3144022112,28.4077096718,2.1472342512,11.702644769,399.5036486753,53.0832949839,28.8212151018,28.817432095,24.0103337226,16.645257251,94.0198526325
38,CU032_05,Lombardia 2 - 05,Como,973.4345139458,143.997358366,77.786531456,66.3332782278,79.0519369717,28.5016854586,1.9149511544,12.6649703555,371.8596179356,63.1880896107,26.8294170568,27.7344047819,21.8057492498,23.9306286261,93.9935572023
39,CU032_06,Lombardia 2 - 06,Cant├╣,610.6381168391,134.9837831404,66.1624652269,65.9978646945,74.6211481938,28.4028776978,1.9345087085,10.5680892974,356.915284699,44.5827009317,31.6421587497,24.6044730156,17.8156553448,22.4711567363,92.231218878
40,CU032_07,Lombardia 2 - 07,Merate,639.6322013133,115.4481918627,79.9611597868,65.5542490501,72.4496371547,29.1906005222,1.5734970569,9.6719156434,336.2568873634,36.8620720802,34.2415819002,23.2662329067,10.4606926343,22.9808017042,92.1901346727
41,CU032_08,Lombardia 2 - 08,Lecco,325.0189593874,147.272170317,73.0313888743,65.1378892804,74.3105078503,27.9924048784,1.4763568932,10.7584350977,391.5441499359,65.5003425199,34.8007102186,22.7116879936,12.2860540141,32.9014434403,94.4644695887
42,CU033_01,Lombardia 3 - 01,Brescia,1334.2521957567,159.537299339,142.034379203,64.9429653385,79.0254241515,26.0601769912,1.3601503427,15.8849793326,518.1494924185,109.2838587247,23.8332258233,27.187538137,12.9965340858,23.7032680219,97.7075321205
43,CU033_02,Lombardia 3 - 02,Lumezzane,106.7912763427,139.8820877406,97.949747084,63.564522076,69.3722796728,28.7094975528,1.640164981,7.4617962349,354.3121367362,52.3566600012,37.0972275457,20.5578978749,6.8902800607,29.6105455364,94.8370865273
44,CU033_03,Lombardia 3 - 03,Desenzano del Garda,313.3045397878,113.320323793,128.8765837996,65.1606320331,71.2336969113,31.2464101091,2.0318372876,9.4671296851,360.6621676184,47.4861087078,28.6124712045,24.0796377237,12.6092522292,22.0034129023,97.1043892742
45,CU033_04,Lombardia 3 - 04,Palazzolo sull'Oglio,567.1065640959,100.9097656156,125.6566231487,63.8983682377,66.2857380182,31.4893617021,1.6712558871,7.9812393179,395.5509705572,49.5614607172,31.1551245276,20.2322087147,7.1145709016,22.3967005661,94.4422266865
46,CU033_05,Lombardia 3 - 05,Bergamo,1841.6371606176,139.9195198472,102.292686197,65.6732828862,76.6601509635,26.1411278417,1.1409762698,15.9408063408,486.3712542736,90.4035664008,24.1703748834,28.2585391811,12.0124560342,18.4167337088,93.6705467668
47,CU033_06,Lombardia 3 - 06,Albino,175.3788048725,127.0289855072,85.6382148709,64.0019693067,69.5968411324,31.1120432024,1.4614532372,7.3434107904,353.5506228707,48.0091545083,33.2504152284,20.5539949943,5.2623532507,25.6184133963,93.2516247845
48,CU033_07,Lombardia 3 - 07,Treviglio,810.0091652153,96.5,122.4345513384,65.2819359728,70.5376946368,32.2213300241,1.6262548175,7.9768127561,417.5416300199,40.7273523013,35.1768748357,22.5562356829,11.0657683363,13.0790279497,95.2530881587
49,CU033_08,Lombardia 3 - 08,Romano di Lombardia,332.2165633165,101.8257622615,135.2390031728,63.394465413,64.6522288816,30.5679642629,1.5918412481,7.0923273955,322.0733469382,37.5150820014,30.2928848686,19.4364354629,7.013297964,22.1092757306,95.3895705207
50,CU034_01,Lombardia 4 - 01,Vigevano,172.9683573877,187.3838106941,84.7135969446,63.3441604467,76.8210326009,30.844868013,3.1588684941,9.8023237844,297.4740978639,54.6805337458,25.6382209709,25.3871176381,27.0929335339,32.9934584319,95.8337991214
51,CU034_02,Lombardia 4 - 02,Pavia,187.8291659683,178.3004129003,87.6551167271,66.4489031509,80.6516262346,27.9224927248,2.0845812339,14.589002208,307.5029748413,80.7138202629,17.9908514282,28.7794133016,21.8219294534,31.1119430925,94.1495361131
52,CU034_03,Lombardia 4 - 03,Lodi,333.0254585191,132.9202385389,96.2791278268,66.2082974835,77.0969582883,28.9232078799,2.2213592233,10.3171108139,304.1338151001,59.9509461589,22.4466195533,31.4878500435,18.3244920129,17.4005681818,92.9870200624
53,CU034_04,Lombardia 4 - 04,Cremona,283.8609985533,164.8232440241,96.5848452508,64.4559969044,75.0569160824,25.0400641026,1.7421825727,11.1784256255,351.2476495401,72.2671138893,26.8972739192,24.3721159904,11.2379505848,26.4982531578,94.1204803475
54,CU034_05,Lombardia 4 - 05,Suzzara,136.2080831653,150.1788932828,135.0802224653,65.3135223877,71.3966626875,28.2673860911,2.8457838471,7.8250282392,332.3523918074,47.3177221318,34.0883681213,18.07329677,15.0151831007,36.9059944482,99.5839509613
55,CU034_06,Lombardia 4 - 06,Mantova,187.7171756369,166.4866385373,109.9963710043,66.8197879859,76.5863063556,28.0885064536,2.7820920364,11.0019155871,385.8680860072,69.2911361781,27.2100442523,23.0137902645,20.8177949184,24.2768506265,96.8472625817
56,CU041_01,Trentino-Alto Adige/Sudtirol - 01,Bolzano,349.7699667076,136.8858712237,106.7206750271,71.1042761099,85.474893553,25.2141633352,1.1660344946,13.6044991596,541.2113580046,139.769845461,9.9484029484,26.3501228501,16.0924841973,30.4735510302,97.9241076191
57,CU041_02,Trentino-Alto Adige/Sudtirol - 02,Merano,50.3834803913,110.6449233795,69.7410343929,73.9371929075,83.8184352545,28.8123557607,0.7856965568,9.0806247362,364.8162125696,66.9022316329,9.9563179203,25.9082676326,5.0190277878,24.3196574112,99.0214854308
58,CU041_03,Trentino-Alto Adige/Sudtirol - 03,Bressanone,46.4157814742,90.7912478549,57.8545886656,73.8380112003,82.0848456097,29.1281978998,0.722922217,9.236121423,499.6960785924,92.4742488213,11.7752696481,27.6820601008,4.215102762,21.1524070841,99.1526491021
59,CU041_04,Trentino-Alto Adige/Sudtiroll - 04,Trento,122.2713228415,132.0277568085,95.7180055936,67.3819018508,79.9974517688,21.6731380162,0.6683180945,15.1803294695,465.684426481,121.8536020831,11.9600097537,26.2843208973,12.6893636412,37.3078339317,93.0450107852
60,CU041_05,Trentino-Alto Adige/Sudtirol - 05,Rovereto,79.311774612,129.4607020361,91.0601754953,67.3385354671,79.5914297066,20.8684695163,0.7823785187,11.9150853089,415.6017265926,89.8123096296,18.493799959,25.5303340849,14.7210244186,39.439178331,93.1081289083
61,CU041_06,Trentino-Alto Adige/Sudtirol - 06,Pergine Valsugana,56.8370886352,121.1526282457,64.9016302227,67.9680036684,78.4175156456,22.2775520902,0.9005604887,10.221959589,383.3390082466,78.1726225574,13.8246477709,25.3715167435,14.9354340219,43.2588746369,91.8529984478
62,CU051_01,Veneto 1 - 01,Venezia,668.9537640791,221.8936438733,96.244587543,64.6799129541,80.0615315744,24.7985938187,2.6304037737,15.749355591,495.9614744088,102.0248140335,12.6624655376,37.9420175694,10.783771748,31.3369692645,95.1215366791
63,CU051_02,Veneto 1 - 02,San Donà di Piave,215.4869192731,147.6472799838,84.9606575133,63.8450987619,71.829245623,24.075294807,4.7208279483,9.0017499663,336.0437705075,44.1288904463,20.7571705248,28.0632666236,16.4505291742,7.8456195576,94.142125604
64,CU051_03,Veneto 1 - 03,Chioggia,315.374780775,147.5799595438,59.9419442713,63.9581777446,71.9694870554,25.3929694198,4.2761608283,8.8011313147,296.5448502345,44.7569164546,25.6584560341,26.4923627357,6.0165081189,14.7915732855,92.4167038839
65,CU051_04,Veneto 1 - 04,Castelfranco Veneto,480.3758527107,107.1769262781,86.0029959124,65.3647468139,72.1095469747,23.6611976347,2.2463606995,9.8772936215,366.7098281159,45.1519536903,28.005773449,24.1871142984,7.8695318837,9.3106535363,92.6495336771
66,CU051_05,Veneto 1 - 05,Montebelluna,271.4119144867,116.6519797016,122.8542053434,64.955312143,72.24059776,23.9747634069,2.3270947758,8.5825937694,374.429290493,42.1679408655,35.2759287578,20.2505172259,6.6428166698,22.7797833935,95.8963776443
67,CU051_06,Veneto 1 - 06,Conegliano,291.6015618035,142.8446377888,120.7213327363,66.6780081898,75.4407096794,21.9755747126,2.7609785747,9.9716646989,407.6757399373,50.6453704704,35.5156552193,20.7638562194,11.2528533802,20.6739015701,94.7826814732
68,CU051_07,Veneto 1 - 07,Belluno,57.807031912,185.7759436641,59.474352524,67.331266468,83.3590167564,21.095610752,2.2177068215,10.0766646863,402.6018831309,71.9135580632,30.8719782796,22.3953506122,10.7125935511,39.5586505048,91.9487870159
69,CU051_08,Veneto 1 - 08,Treviso,538.9944829862,140.1465551974,89.5092781985,66.6274549918,76.9886621588,22.7529067744,2.0915628244,14.367513166,418.1583651206,70.2047284722,23.2701575649,28.0886624882,11.6143421521,14.4636207104,93.1405765792
70,CU052_01,Veneto 2 - 01,Rovigo,133.2063759031,203.24204883,65.3809176023,64.0756196576,76.5432316295,25.1415628539,5.2107404555,9.2860795646,348.3901315871,58.6055647021,24.8663127367,22.026843439,12.338854943,19.8450201108,94.9519282893
71,CU052_02,Veneto 2 - 02,Padova,1637.4470903289,180.7460922812,112.4455922365,66.1527301075,82.2586236953,20.0462553568,2.03192069,23.0620075086,519.1166149815,122.6892906161,15.8951619289,31.4997228601,14.2599502972,9.2135570911,94.6347566408
72,CU052_03,Veneto 2 - 03,Vigonza,458.5863551625,110.1758692853,95.8869655745,66.8919627951,72.081847148,23.7401238522,2.1314232688,9.6189006857,407.2728661982,39.1437094674,33.0565595389,22.454262549,6.1049858969,9.2408798283,93.2729446319
73,CU052_04,Veneto 2 - 04,Abano Terme,247.9467583413,150.58512999,65.8719352475,65.2470187394,73.2650152997,23.9109337934,3.8606206652,9.2724062948,334.6173560034,44.127404398,24.8807670711,25.8644831581,5.8263735302,13.9109838889,93.7035214838
74,CU052_05,Veneto 2 - 05,Vicenza,375.2874866741,133.6778984871,121.9912513553,65.9869330534,76.3565353157,23.1464032751,1.6278622092,12.3967360306,449.6130407148,69.4993831084,29.5737904865,23.9692031441,10.0110287386,18.4464829305,94.3046823743
75,CU052_06,Veneto 2 - 06,Bassano del Grappa,271.8531568659,123.953549403,81.0641774884,65.5334403479,73.7796295147,23.5023041475,1.6440483135,9.9033584504,412.3217011776,52.4052267362,35.6969543885,21.0322472005,6.7153092365,21.512693365,92.557090327
76,CU052_07,Veneto 2 - 07,Schio,321.3786309658,123.7697185107,110.3889706157,65.9899453597,74.4074716664,25.5581260844,1.5258388768,8.7725365329,385.7158873551,46.2490784498,41.4485300951,19.6787584028,6.4036906767,25.6761225575,92.5298451535
